Data;Último;Abertura;Máxima;Mínima;Var%
11.01.2019;1,1486;1,1509;1,1540;1,1458;-0,20%
10.01.2019;1,1509;1,1554;1,1571;1,1485;-0,30%
09.01.2019;1,1543;1,1444;1,1556;1,1435;0,88%
08.01.2019;1,1442;1,1476;1,1487;1,1422;-0,30%
07.01.2019;1,1476;1,1392;1,1485;1,1392;0,71%
04.01.2019;1,1395;1,1393;1,1422;1,1345;0,01%
03.01.2019;1,1394;1,1345;1,1413;1,1309;0,45%
02.01.2019;1,1343;1,1464;1,1499;1,1325;-1,06%
01.01.2019;1,1464;1,1466;1,1481;1,1425;-0,05%
31.12.2018;1,1470;1,1443;1,1470;1,1421;0,28%
28.12.2018;1,1438;1,1429;1,1478;1,1424;0,07%
27.12.2018;1,1430;1,1353;1,1457;1,1349;0,68%
26.12.2018;1,1353;1,1363;1,1423;1,1342;-0,08%
25.12.2018;1,1362;1,1400;1,1429;1,1361;-0,33%
24.12.2018;1,1400;1,1370;1,1439;1,1350;0,27%
21.12.2018;1,1369;1,1447;1,1477;1,1353;-0,67%
20.12.2018;1,1446;1,1377;1,1487;1,1371;0,61%
19.12.2018;1,1377;1,1361;1,1442;1,1360;0,14%
18.12.2018;1,1361;1,1346;1,1402;1,1336;0,12%
17.12.2018;1,1347;1,1308;1,1360;1,1299;0,34%
14.12.2018;1,1309;1,1362;1,1374;1,1268;-0,48%
13.12.2018;1,1363;1,1369;1,1396;1,1330;-0,04%
12.12.2018;1,1368;1,1317;1,1388;1,1312;0,46%
11.12.2018;1,1316;1,1361;1,1402;1,1304;-0,35%
